wl	n
0.539966	2.36893994604
0.541211	2.36817077684
0.542458	2.36740674565
0.543709	2.36664780583
0.544962	2.36589391132
0.546218	2.36514501662
0.547478	2.36440107679
0.54874	2.36366204744
0.550005	2.3629278847
0.551272	2.36219854524
0.552543	2.36147398627
0.553817	2.36075416546
0.555094	2.36003904104
0.556373	2.3593285717
0.557656	2.35862271663
0.558941	2.35792143548
0.56023	2.35722468841
0.561521	2.35653243601
0.562816	2.35584463934
0.564113	2.35516125991
0.565414	2.35448225968
0.566717	2.35380760104
0.568024	2.35313724679
0.569333	2.3524711602
0.570645	2.3518093049
0.571961	2.35115164499
0.573279	2.35049814492
0.574601	2.34984876956
0.575926	2.34920348419
0.577253	2.34856225445
0.578584	2.34792504637
0.579918	2.34729182635
0.581254	2.34666256117
0.582594	2.34603721797
0.583937	2.34541576424
0.585284	2.34479816783
0.586633	2.34418439694
0.587985	2.34357442011
0.589341	2.34296820622
0.590699	2.34236572447
0.592061	2.34176694442
0.593426	2.34117183592
0.594794	2.34058036916
0.596165	2.33999251463
0.597539	2.33940824314
0.598917	2.33882752582
0.600297	2.33825033407
0.601681	2.3376766396
0.603068	2.33710641443
0.604458	2.33653963085
0.605852	2.33597626143
0.607248	2.33541627905
0.608648	2.33485965684
0.610051	2.33430636821
0.611458	2.33375638686
0.612867	2.33320968672
0.61428	2.33266624201
0.615696	2.3321260272
0.617115	2.33158901701
0.618538	2.33105518644
0.619964	2.3305245107
0.621393	2.32999696527
0.622825	2.32947252586
0.624261	2.32895116843
0.6257	2.32843286917
0.627143	2.32791760451
0.628588	2.32740535109
0.630037	2.32689608581
0.63149	2.32638978576
0.632945	2.32588642826
0.634405	2.32538599087
0.635867	2.32488845134
0.637333	2.32439378765
0.638802	2.32390197797
0.640275	2.32341300069
0.641751	2.32292683442
0.64323	2.32244345793
0.644713	2.32196285024
0.646199	2.32148499052
0.647689	2.32100985817
0.649182	2.32053743277
0.650678	2.32006769408
0.652178	2.31960062206
0.653682	2.31913619685
0.655189	2.31867439877
0.656699	2.31821520833
0.658213	2.31775860621
0.65973	2.31730457327
0.661251	2.31685309053
0.662775	2.31640413921
0.664303	2.31595770068
0.665835	2.31551375647
0.667369	2.3150722883
0.668908	2.31463327804
0.67045	2.31419670772
0.671995	2.31376255952
0.673545	2.31333081581
0.675097	2.31290145909
0.676653	2.31247447202
0.678213	2.31204983741
0.679777	2.31162753822
0.681344	2.31120755757
0.682914	2.31078987872
0.684489	2.31037448507
0.686067	2.30996136017
0.687648	2.30955048771
0.689233	2.30914185152
0.690822	2.30873543558
0.692415	2.30833122398
0.694011	2.30792920097
0.695611	2.30752935092
0.697214	2.30713165836
0.698822	2.3067361079
0.700433	2.30634268433
0.702047	2.30595137255
0.703666	2.30556215756
0.705288	2.30517502454
0.706914	2.30478995874
0.708543	2.30440694556
0.710177	2.30402597052
0.711814	2.30364701925
0.713455	2.30327007751
0.715099	2.30289513118
0.716748	2.30252216622
0.7184	2.30215116876
0.720056	2.301782125
0.721716	2.30141502127
0.72338	2.301049844
0.725047	2.30068657975
0.726719	2.30032521516
0.728394	2.299965737
0.730073	2.29960813214
0.731756	2.29925238755
0.733443	2.29889849031
0.735134	2.29854642759
0.736828	2.29819618669
0.738527	2.29784775497
0.740229	2.29750111991
0.741936	2.29715626911
0.743646	2.29681319022
0.74536	2.29647187104
0.747079	2.29613229941
0.748801	2.29579446331
0.750527	2.29545835078
0.752257	2.29512394998
0.753991	2.29479124915
0.755729	2.2944602366
0.757472	2.29413090076
0.759218	2.29380323013
0.760968	2.29347721331
0.762722	2.29315283898
0.76448	2.2928300959
0.766243	2.29250897293
0.768009	2.29218945899
0.769779	2.2918715431
0.771554	2.29155521437
0.773333	2.29124046198
0.775115	2.29092727518
0.776902	2.29061564331
0.778693	2.2903055558
0.780488	2.28999700215
0.782287	2.28968997193
0.784091	2.28938445479
0.785898	2.28908044046
0.78771	2.28877791874
0.789526	2.28847687951
0.791346	2.28817731272
0.79317	2.28787920838
0.794999	2.28758255661
0.796831	2.28728734756
0.798668	2.28699357146
0.800509	2.28670121863
0.802355	2.28641027945
0.804204	2.28612074435
0.806058	2.28583260384
0.807916	2.28554584852
0.809779	2.28526046901
0.811645	2.28497645604
0.813516	2.28469380039
0.815392	2.28441249288
0.817271	2.28413252443
0.819155	2.28385388601
0.821044	2.28357656864
0.822936	2.28330056343
0.824834	2.28302586152
0.826735	2.28275245413
0.828641	2.28248033254
0.830551	2.28220948807
0.832466	2.28193991214
0.834385	2.28167159618
0.836308	2.28140453172
0.838236	2.28113871031
0.840168	2.28087412359
0.842105	2.28061076324
0.844046	2.28034862099
0.845992	2.28008768863
0.847942	2.27982795803
0.849897	2.27956942106
0.851856	2.2793120697
0.85382	2.27905589595
0.855788	2.27880089187
0.857761	2.27854704958
0.859738	2.27829436123
0.86172	2.27804281905
0.863707	2.27779241531
0.865698	2.27754314231
0.867693	2.27729499244
0.869694	2.2770479581
0.871699	2.27680203176
0.873708	2.27655720593
0.875722	2.27631347317
0.877741	2.27607082611
0.879764	2.27582925738
0.881792	2.27558875969
0.883825	2.27534932579
0.885862	2.27511094848
0.887905	2.2748736206
0.889951	2.27463733503
0.892003	2.27440208469
0.894059	2.27416786257
0.89612	2.27393466168
0.898186	2.27370247508
0.900257	2.27347129588
0.902332	2.27324111721
0.904412	2.27301193227
0.906497	2.27278373429
0.908587	2.27255651653
0.910681	2.27233027231
0.91278	2.27210499498
0.914885	2.27188067794
0.916994	2.27165731461
0.919108	2.27143489846
0.921226	2.27121342301
0.92335	2.27099288181
